name,team,min,uast,ts
Steve Francis,HOU,39.9,0.718,0.563
Steve Kerr,SAS,11.9,0.313,0.546
Steve Nash,DAL,34.1,0.697,0.603
Steven Smith,POR,31.4,0.415,0.587
Stromile Swift,VAN,16.4,0.268,0.487
Terrell Brandon,MIN,36.2,0.483,0.507
Terry Porter,SAS,21.0,0.477,0.583
Theo Ratliff,PHI,36.0,0.395,0.562
Tim Duncan,SAS,38.7,0.469,0.536
Tim Hardaway,MIA,33.9,0.618,0.513
Tim Thomas,MIL,27.4,0.264,0.549
Todd Day,MIN,11.0,0.182,0.515
Tom Gugliotta,PHX,20.4,0.268,0.437
Toni Kukoc,ATL,24.6,0.455,0.553
Tony Battie,BOS,21.1,0.278,0.562
Tony Delk,PHX,27.9,0.355,0.49
Tony Massenburg,VAN,15.7,0.272,0.507
Tracy McGrady,ORL,40.2,0.544,0.521
Tracy Murray,TOR,11.5,0.213,0.482
Trajan Langdon,CLE,17.2,0.185,0.561
Travis Best,IND,31.9,0.648,0.517
Troy Hudson,ORL,13.4,0.576,0.427
Tyrone Hill,PHI,31.1,0.288,0.515
Tyrone Nesby,WAS,25.1,0.323,0.444
Tyronn Lue,LAL,12.3,0.54,0.51
Vernon Maxwell,DAL,15.4,0.274,0.424
Vin Baker,SEA,28.0,0.369,0.481
Vince Carter,TOR,39.7,0.396,0.551
Vinny Del Negro,PHX,14.1,0.434,0.501
Vitaly Potapenko,BOS,23.2,0.306,0.517
Vlade Divac,SAC,29.8,0.42,0.536
Vonteego Cummings,GSW,22.7,0.556,0.425
Voshon Lenard,DEN,29.2,0.232,0.522
Wally Szczerbiak,MIN,34.8,0.19,0.566
Walt Williams,HOU,22.0,0.193,0.527
Wesley Person,CLE,21.8,0.086,0.514
Zan Tabak,IND,14.1,0.367,0.523
